fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.92,0.476,0.302,1.23,0.057,51,102,0.99655,3.56,0.96,10.17,5
9.53,0.638,0.726,2.54,0.113,7,47,0.99746,3.38,0.47,10.77,5
6.19,0.665,0.525,8.29,0.088,13,55,0.99801,3.34,1.0,11.69,7
7.37,0.646,0.165,3.8,0.059,25,49,0.99737,3.21,0.82,8.58,5
7.75,0.813,0.357,2.81,0.057,10,40,0.99631,3.46,0.68,8.4,4
9.14,0.204,0.066,3.45,0.078,1,33,0.9975,3.07,0.7,8.97,6
8.15,0.742,0.335,1.63,0.038,11,56,0.99539,3.48,0.73,9.75,5
12.04,0.734,0.334,2.01,0.078,7,13,0.9959,3.07,0.75,10.72,6
8.43,0.219,0.1,1.68,0.086,3,15,0.99577,3.36,0.77,8.4,5
7.06,0.653,0.208,2.4,0.085,35,66,0.99611,3.19,0.71,9.73,5
7.88,0.556,0.288,1.91,0.125,1,49,0.99517,3.58,0.65,8.98,5
7.36,0.32,0.528,1.74,0.067,35,44,0.99741,3.42,0.89,8.57,5
7.98,0.701,0.165,2.12,0.065,11,37,0.9959,3.21,0.59,10.63,5
8.69,0.621,0.46,1.35,0.059,21,57,0.99386,2.98,0.91,11.98,5
10.52,0.763,0.077,1.36,0.061,10,25,0.99518,3.27,0.63,10.48,5
10.4,0.463,0.248,6.53,0.103,8,10,0.99832,3.3,0.69,11.32,6
9.1,0.721,0.425,5.79,0.119,2,16,0.99811,3.11,0.81,10.21,6
6.55,0.163,0.043,2.21,0.068,7,49,0.99789,3.45,0.72,10.07,5
8.96,0.77,0.34,1.82,0.077,10,27,0.99559,3.12,0.63,10.3,5
6.95,0.441,0.0,1.88,0.088,9,38,0.99627,3.61,0.37,8.75,4
8.03,0.885,0.117,1.51,0.123,32,59,0.99547,3.38,0.5,9.85,5
8.94,0.71,0.147,3.05,0.078,6,34,0.99647,3.05,0.74,12.02,6
8.14,0.361,0.249,1.83,0.086,8,53,0.99652,3.42,0.6,11.58,6
11.51,0.765,0.319,2.29,0.059,14,55,0.99806,3.14,0.74,10.57,5
8.24,0.522,0.258,4.31,0.094,10,49,0.99744,3.35,0.73,11.13,5
7.66,0.334,0.238,1.35,0.052,9,48,0.99729,3.25,0.6,10.97,6
7.82,0.387,0.0,3.98,0.095,26,40,0.99783,3.36,0.42,9.87,5
9.68,0.578,0.356,3.58,0.103,21,55,0.99686,3.49,0.59,13.76,6
5.62,0.264,0.157,1.43,0.042,6,27,0.99683,3.42,0.88,9.84,6
7.43,0.314,0.531,2.24,0.059,16,28,0.99743,3.25,0.77,9.93,6
6.38,0.389,0.415,0.91,0.181,13,67,0.99674,3.29,0.33,9.48,4
7.68,0.405,0.256,2.12,0.06,24,26,0.99666,3.26,0.72,10.07,6
5.34,0.502,0.71,1.46,0.072,5,27,0.99343,3.69,1.04,10.52,6
7.63,0.445,0.336,1.95,0.102,9,27,0.99783,3.2,0.57,10.08,5
9.5,0.799,0.316,1.11,0.062,7,48,0.9958,3.23,0.33,9.76,4
6.87,0.532,0.328,1.7,0.087,21,64,0.99643,3.27,0.68,11.41,7
9.76,0.267,0.246,2.95,0.104,21,63,0.99672,3.2,0.57,11.44,5
6.95,0.487,0.162,1.65,0.052,11,41,0.99578,3.36,0.64,9.16,4
7.77,0.817,0.0,2.9,0.069,5,15,0.99663,3.43,0.67,10.41,5
6.2,0.709,0.57,1.41,0.075,9,44,0.9959,3.41,0.81,11.43,6
8.9,0.502,0.0,3.07,0.075,3,37,0.99585,3.37,0.54,11.58,5
8.82,0.553,0.354,2.58,0.097,8,24,0.99661,3.15,0.95,9.06,5
8.29,0.176,0.614,0.9,0.109,30,46,0.99745,3.21,0.81,8.4,5
9.51,0.401,0.055,1.54,0.072,28,59,0.99515,3.31,0.46,8.99,5
7.32,0.326,0.052,1.22,0.081,25,147,0.99564,3.31,0.63,11.63,6
10.94,0.37,0.113,1.64,0.064,3,24,0.99654,3.25,0.68,10.72,6
8.35,0.74,0.346,1.76,0.07,3,11,0.99704,3.36,0.67,8.4,4
6.81,0.704,0.468,3.43,0.051,8,39,0.99625,3.56,0.55,9.97,5
7.63,0.304,0.209,2.55,0.102,9,40,0.99651,3.35,0.81,9.8,6
8.0,0.407,0.328,1.27,0.052,20,57,0.99574,3.31,0.53,12.05,5
6.2,0.562,0.867,1.72,0.071,7,13,0.99676,3.36,0.57,9.96,5
6.41,0.526,0.363,2.25,0.091,19,55,0.99598,3.4,0.51,9.8,5
10.67,0.357,0.285,1.14,0.071,15,66,0.99807,3.25,0.83,11.18,5
8.91,0.683,0.375,2.05,0.062,31,34,0.99724,3.31,0.62,11.36,5
9.7,0.688,0.107,2.93,0.073,8,40,0.99686,3.26,0.58,10.65,5
11.89,0.531,0.485,2.49,0.054,19,58,0.9957,3.36,0.95,10.25,5
9.28,0.344,0.255,1.4,0.072,11,63,0.99562,3.28,0.73,10.08,6
6.96,0.496,0.372,2.03,0.049,15,32,0.99616,3.36,0.87,11.4,6
9.56,0.596,0.34,3.48,0.068,17,23,0.9975,3.32,0.82,9.96,5
7.1,0.193,0.277,2.03,0.072,31,75,0.99575,3.54,0.78,10.67,6
10.08,0.646,0.128,2.02,0.052,11,19,0.9954,3.29,0.75,9.85,4
9.27,0.614,0.427,1.55,0.069,21,23,0.99672,3.34,0.88,10.34,4
10.09,0.444,0.481,2.4,0.169,8,21,0.99659,3.44,0.77,9.64,6
6.93,0.757,0.0,2.4,0.103,18,28,0.99563,3.39,0.74,9.55,5
5.48,0.401,0.206,5.33,0.057,12,29,0.99685,3.64,0.78,9.93,6
8.78,0.431,0.225,1.71,0.037,18,45,0.99617,3.44,0.7,10.69,6
9.47,0.438,0.231,2.07,0.055,14,36,0.99695,3.17,0.33,10.04,5
8.37,0.399,0.308,2.24,0.05,15,58,0.99674,3.34,0.84,10.59,5
7.66,0.729,0.33,1.99,0.061,6,22,0.9955,3.41,1.16,11.31,6
7.7,0.739,0.41,3.16,0.049,15,43,0.99673,3.33,0.86,10.41,5
7.6,0.898,0.371,1.69,0.078,40,60,0.99741,3.21,0.92,10.42,4
9.18,0.788,0.141,4.73,0.09,8,64,0.99764,3.13,0.37,10.58,5
6.03,0.48,0.025,1.09,0.161,9,19,0.99636,3.34,0.51,10.46,6
7.8,0.76,0.0,1.33,0.132,27,45,0.99626,3.4,0.91,8.94,3
9.21,0.855,0.412,2.27,0.053,13,27,0.99719,3.3,0.44,10.59,5
8.22,0.481,0.187,1.23,0.121,22,37,0.99591,3.18,0.56,9.87,5
7.44,0.508,0.375,2.03,0.044,19,39,0.99675,3.19,0.56,10.31,6
7.56,0.435,0.13,4.8,0.062,7,11,0.99608,3.34,0.94,10.86,6
8.88,0.627,0.303,2.15,0.085,7,23,0.99653,3.3,0.91,10.59,5
9.41,0.769,0.245,4.29,0.046,6,29,0.99726,3.22,0.85,11.82,5
5.8,0.795,0.396,2.98,0.071,16,31,0.99701,3.45,0.57,10.34,5
11.65,0.454,0.14,1.12,0.084,23,38,0.99696,3.19,0.55,9.09,5
8.8,0.642,0.27,1.58,0.043,10,22,0.99587,3.27,0.66,9.31,5
8.15,0.568,0.237,2.31,0.061,11,16,0.99536,3.47,0.61,9.93,5
6.45,0.412,0.258,2.06,0.098,5,24,0.99698,3.57,0.71,8.45,4
6.99,0.31,0.408,1.92,0.056,10,25,0.99563,3.35,0.82,10.8,5
9.39,0.567,0.113,2.5,0.041,16,48,0.99642,3.15,0.59,9.84,4
8.83,0.261,0.355,2.42,0.088,15,25,0.99654,3.23,0.33,8.4,5
5.2,0.356,0.391,2.5,0.071,9,38,0.99714,3.46,0.83,11.03,6
6.68,0.628,0.219,1.85,0.063,10,22,0.99818,3.27,0.56,8.4,4
7.83,0.687,0.412,2.35,0.059,43,61,0.9969,3.47,0.63,10.29,6
6.55,0.549,0.0,3.73,0.092,2,21,0.99522,3.43,0.81,10.2,5
11.03,0.698,0.264,1.71,0.085,11,57,0.99594,3.17,0.85,11.69,6
9.92,0.575,0.299,1.21,0.12,5,41,0.99715,3.31,0.74,11.85,6
7.39,0.716,0.637,1.31,0.093,51,62,0.99673,3.27,0.7,10.62,6
5.63,0.437,0.391,2.05,0.071,18,121,0.9962,3.38,0.59,11.38,5
8.3,0.228,0.369,4.62,0.059,9,41,0.99706,3.17,0.65,10.33,5
7.49,0.925,0.087,4.61,0.121,16,31,0.99744,3.25,0.94,9.61,5
7.37,0.717,0.276,1.85,0.062,14,34,0.99608,3.45,0.7,11.62,5
6.24,1.038,0.378,1.22,0.092,11,26,0.99552,3.33,0.53,8.77,4
9.16,0.603,0.325,2.23,0.068,26,59,0.99602,3.21,0.63,12.22,6
8.02,0.723,0.49,3.64,0.091,11,41,0.99706,3.19,0.53,11.55,6
9.89,0.599,0.308,2.45,0.122,19,44,0.99642,3.14,0.33,11.58,6
9.38,0.652,0.376,2.82,0.066,8,27,0.99691,3.24,0.43,12.2,7
7.42,0.269,0.199,1.58,0.148,11,41,0.99544,3.43,0.81,9.08,5
8.3,0.598,0.496,3.94,0.077,6,16,0.99732,3.34,0.59,10.7,6
7.04,0.849,0.294,2.53,0.117,14,63,0.99617,3.23,0.73,11.99,5
8.27,0.394,0.525,2.59,0.091,19,40,0.99728,3.29,0.53,12.28,7
6.53,0.686,0.294,1.46,0.057,6,91,0.99611,3.34,0.53,9.26,5
9.14,0.357,0.296,1.33,0.077,2,13,0.9958,3.27,0.96,11.36,6
4.74,0.659,0.385,2.61,0.042,39,82,0.99608,3.51,0.81,10.76,5
8.63,0.459,0.348,3.09,0.05,12,56,0.99616,3.26,0.57,11.4,6
8.04,0.251,0.18,1.53,0.118,25,70,0.99527,3.31,0.72,10.84,6
9.25,0.829,0.164,1.36,0.074,6,40,0.99561,3.13,0.62,11.01,5
6.6,0.388,0.389,1.54,0.097,7,39,0.99713,3.28,0.62,10.42,5
8.36,0.517,0.119,2.5,0.084,17,60,0.99627,3.41,0.65,10.01,5
9.09,0.335,0.335,2.36,0.12,5,38,0.99599,3.39,0.74,10.32,5
7.96,0.913,0.237,3.17,0.044,13,97,0.99583,3.28,0.59,11.94,6
8.34,0.573,0.261,2.87,0.125,3,24,0.99614,3.27,0.47,8.4,4
8.06,0.525,0.371,3.66,0.092,6,47,0.99735,3.27,0.83,10.65,6
7.45,0.531,0.539,1.61,0.081,22,31,0.99517,3.42,0.54,10.9,6
7.34,0.605,0.189,1.88,0.054,12,93,0.99545,3.42,0.57,10.08,6
5.81,0.671,0.0,1.21,0.076,13,69,0.99604,3.39,0.37,11.56,5
8.49,0.519,0.467,1.84,0.058,20,43,0.99573,3.32,0.42,10.35,6
8.16,0.546,0.0,1.45,0.078,22,26,0.99661,3.48,0.68,11.11,5
10.59,0.177,0.206,1.82,0.046,11,58,0.99567,3.44,0.68,12.36,7
6.86,0.636,0.27,3.5,0.099,18,37,0.99687,3.42,0.77,9.5,4
10.61,0.32,0.372,1.78,0.053,20,22,0.99637,3.04,0.51,11.76,6
9.9,0.398,0.164,3.37,0.054,9,57,0.99618,3.15,0.82,10.7,6
4.6,0.398,0.14,2.73,0.106,22,42,0.99623,3.49,0.53,9.92,5
8.07,0.591,0.0,2.79,0.055,9,34,0.99668,3.16,0.51,11.14,6
10.25,0.59,0.377,2.35,0.078,29,64,0.99684,3.34,0.87,11.05,6
8.12,0.207,0.313,2.91,0.085,10,30,0.99683,3.48,0.72,10.86,5
9.31,0.918,0.0,5.21,0.058,5,33,0.99803,3.26,0.71,11.43,5
9.7,0.258,0.19,1.19,0.065,47,66,0.99696,3.18,0.64,9.42,5
7.01,0.534,0.221,4.54,0.081,12,54,0.99711,3.12,0.41,11.16,6
8.86,0.492,0.095,1.49,0.136,30,45,0.99652,3.07,0.47,10.96,5
7.98,0.16,0.366,1.67,0.048,21,37,0.99612,3.28,0.73,10.37,6
10.16,0.713,0.178,3.14,0.061,12,43,0.99604,3.06,0.87,11.01,6
4.6,0.485,0.0,1.14,0.058,10,41,0.99589,3.36,0.77,11.24,6
7.6,0.318,0.536,2.14,0.049,31,73,0.99552,3.29,0.73,9.54,5
6.41,0.58,0.414,2.17,0.044,23,59,0.99691,3.25,0.91,9.28,5
7.92,0.12,0.0,3.23,0.079,8,32,0.99637,3.18,0.62,12.62,7
8.8,0.453,0.005,3.7,0.058,19,26,0.9969,3.01,0.7,8.4,4
8.56,0.535,0.349,4.26,0.06,8,28,0.99724,3.64,0.65,10.72,5
8.05,0.558,0.654,1.7,0.069,8,53,0.99753,3.49,0.42,10.13,5
9.54,0.708,0.139,3.71,0.08,27,136,0.99725,3.16,0.76,10.98,5
6.95,0.631,0.03,2.03,0.093,26,52,0.99769,3.12,0.79,9.77,6
9.57,0.175,0.065,2.81,0.065,42,73,0.99611,3.26,0.48,11.04,6
8.31,0.585,0.515,2.31,0.061,18,44,0.99762,3.13,0.98,11.12,6
6.23,0.363,0.513,2.42,0.055,4,40,0.99656,3.24,0.69,11.25,6
8.54,0.39,0.367,1.73,0.065,23,56,0.9963,3.16,0.77,10.44,5
8.73,0.717,0.228,3.01,0.066,3,16,0.9971,3.39,0.65,8.4,5
8.35,0.714,0.216,1.02,0.062,22,33,0.99598,3.32,0.76,9.77,5
6.28,0.834,0.0,2.29,0.068,19,27,0.99739,3.27,0.58,10.24,5
8.17,0.579,0.542,1.99,0.082,18,54,0.99537,3.32,0.79,10.23,5
11.42,0.858,0.123,3.21,0.043,4,20,0.99765,3.13,0.63,11.56,5
11.18,0.468,0.217,2.03,0.059,19,45,0.99702,3.03,0.61,9.21,5
6.76,0.615,0.124,2.07,0.116,2,27,0.99676,3.24,0.56,8.86,5
7.88,0.568,0.004,2.0,0.104,11,28,0.99619,3.17,0.7,8.93,5
7.35,0.485,0.212,2.83,0.045,14,27,0.99596,3.34,0.72,9.66,5
5.89,0.242,0.182,2.04,0.146,17,30,0.99572,3.62,0.69,9.9,6
5.83,0.351,0.0,2.71,0.031,8,29,0.99727,3.42,0.45,9.69,5
7.95,0.781,0.333,1.39,0.087,17,54,0.99702,3.3,0.75,9.96,5
10.08,0.563,0.184,1.55,0.108,13,29,0.99597,3.06,0.55,11.41,5
9.6,0.774,0.0,1.37,0.078,15,49,0.99748,3.49,0.79,10.92,5
10.11,0.401,0.4,3.14,0.066,28,89,0.99557,3.23,0.64,10.73,5
11.21,0.443,0.094,1.32,0.075,9,22,0.99636,3.45,0.59,8.83,5
7.1,0.533,0.661,5.8,0.07,5,10,0.99965,3.42,0.47,10.06,6
7.78,0.561,0.427,1.49,0.076,8,45,0.99629,3.31,0.33,12.0,5
5.67,0.549,0.0,1.45,0.063,15,81,0.99468,3.4,0.54,11.37,5
7.6,0.709,0.631,3.03,0.06,7,29,0.99622,3.36,0.6,11.36,6
8.7,0.306,0.434,3.65,0.083,17,53,0.99653,3.29,0.75,10.93,7
9.91,0.738,0.659,2.35,0.091,40,64,0.99541,3.0,0.33,9.86,4
6.32,0.519,0.319,2.12,0.122,13,21,0.99599,3.42,0.66,11.63,5
7.06,0.631,0.073,2.46,0.084,6,44,0.9951,3.22,0.55,11.9,6
7.76,0.329,0.405,1.32,0.082,30,61,0.99778,3.38,0.79,11.1,5
7.69,0.567,0.466,2.16,0.088,4,52,0.99544,3.25,0.65,10.41,6
5.57,0.67,0.002,3.35,0.055,2,66,0.99656,3.34,0.64,9.1,4
8.95,0.343,0.491,0.9,0.051,12,29,0.99601,3.22,0.49,10.29,6
7.48,0.836,0.0,2.28,0.084,5,24,0.99635,3.53,0.72,10.61,4
7.47,0.415,0.68,2.63,0.111,16,24,0.99613,3.35,0.71,8.5,4
6.99,0.611,0.402,3.81,0.063,53,103,0.99735,3.31,0.62,10.05,5
7.82,0.434,0.243,2.04,0.058,10,13,0.99709,3.3,0.67,12.51,6
7.11,0.63,0.514,1.73,0.059,17,18,0.99637,3.34,0.5,9.98,5
7.83,0.778,0.227,2.26,0.09,7,31,0.99587,3.52,1.01,10.33,6
10.02,0.222,0.329,2.48,0.088,10,34,0.99713,2.98,0.33,8.87,6
7.97,0.382,0.486,1.71,0.068,27,56,0.9963,3.32,0.82,11.8,6
8.74,0.671,0.011,1.62,0.074,18,22,0.9966,3.45,0.56,10.51,6
8.13,0.516,0.1,1.82,0.135,8,10,0.9949,3.21,0.33,10.59,5
5.82,0.531,0.133,2.72,0.058,12,78,0.99893,3.34,0.52,10.48,5
5.16,0.698,0.237,3.68,0.096,16,64,0.99703,3.4,0.62,10.47,6
8.93,0.729,0.225,1.79,0.056,17,25,0.99513,3.32,0.93,10.71,5
6.91,0.615,0.143,2.13,0.101,18,60,0.99608,3.12,0.57,10.04,5
7.74,0.436,0.034,1.2,0.116,21,33,0.99663,3.42,0.67,13.18,7
6.98,0.753,0.511,3.16,0.073,24,34,0.99651,3.19,0.78,9.99,4
6.05,0.929,0.056,1.07,0.105,21,41,0.99696,3.29,0.68,12.62,6
10.23,0.486,0.232,1.45,0.097,25,30,0.99623,3.23,0.8,10.98,5
12.4,0.509,0.02,3.26,0.081,24,50,0.99728,3.26,0.33,9.36,4
10.27,0.747,0.292,5.17,0.142,10,29,0.99735,3.23,0.6,10.3,5
6.16,0.461,0.47,2.38,0.058,6,33,0.99658,3.31,0.64,9.97,6
7.4,0.476,0.498,2.47,0.077,21,53,0.99694,3.25,0.97,10.08,5
8.64,0.344,0.006,2.44,0.04,12,18,0.9976,3.02,0.66,11.21,5
6.31,0.439,0.246,3.63,0.079,42,130,0.99577,3.48,0.7,11.03,6
7.79,0.636,0.059,1.98,0.095,13,20,0.99673,3.4,0.4,10.13,4
8.59,0.599,0.407,6.69,0.053,22,79,0.99922,3.24,0.69,10.49,5
11.05,0.539,0.263,3.78,0.083,21,48,0.99664,3.14,0.79,9.71,5
5.61,0.61,0.218,0.9,0.085,6,47,0.99594,3.3,0.71,12.71,6
8.27,0.567,0.016,2.21,0.048,6,30,0.99533,3.35,0.69,9.49,6
6.3,0.447,0.741,2.15,0.037,20,28,0.99615,3.35,0.79,8.4,4
4.6,0.734,0.641,1.54,0.062,24,51,0.99582,3.52,0.77,10.54,5
9.15,0.454,0.0,2.68,0.096,20,39,0.99502,3.13,0.62,9.96,4
5.1,0.644,0.435,1.69,0.103,3,13,0.9957,3.45,0.81,11.87,6
7.58,0.351,0.185,2.75,0.12,24,71,0.99731,3.19,0.62,10.49,6
9.34,0.413,0.375,4.07,0.065,8,45,0.99709,3.44,0.74,9.38,5
8.4,0.487,0.0,2.53,0.1,33,60,0.99677,3.34,0.43,10.88,5
7.66,0.475,0.158,0.9,0.059,23,47,0.99734,3.5,0.71,10.7,6
9.83,0.803,0.264,3.57,0.143,15,53,0.99428,3.05,0.83,10.23,5
7.4,0.849,0.212,3.22,0.05,10,26,0.99758,3.51,0.74,8.59,4
7.07,0.284,0.379,3.26,0.063,29,88,0.99677,3.38,0.53,11.49,5
10.24,0.6,0.451,3.45,0.078,7,19,0.99734,3.14,0.67,11.47,6
8.35,0.841,0.417,2.1,0.068,14,97,0.9964,3.16,0.6,10.4,5
6.93,0.403,0.547,1.57,0.105,21,44,0.99647,3.39,0.67,11.9,6
6.29,0.416,0.577,2.14,0.085,18,46,0.99561,3.3,0.53,9.56,6
7.34,0.292,0.461,2.78,0.084,12,39,0.99654,3.43,0.46,9.33,5
9.87,0.977,0.092,2.13,0.109,14,37,0.99783,3.22,0.46,9.69,5
7.32,0.496,0.005,2.73,0.081,22,46,0.99702,3.13,0.73,10.67,5
8.39,0.556,0.552,2.56,0.054,12,65,0.99705,3.16,0.58,8.4,4
10.48,0.359,0.026,2.19,0.069,33,44,0.99714,3.32,0.6,10.47,5
10.45,0.482,0.203,2.4,0.078,11,45,0.99787,3.14,0.71,10.37,5
6.01,0.389,0.532,1.18,0.065,23,64,0.99647,3.49,0.87,10.79,6
10.14,0.514,0.407,1.41,0.069,9,58,0.99711,3.25,0.59,10.61,6
4.6,0.343,0.693,2.69,0.078,6,15,0.9984,3.5,0.55,9.87,6
9.13,0.426,0.048,2.67,0.05,24,26,0.99617,3.18,0.58,10.95,6
6.02,0.567,0.306,1.31,0.071,16,23,0.99733,3.57,0.39,10.27,6
7.05,0.531,0.294,3.02,0.072,8,41,0.99643,3.47,0.72,10.38,5
7.3,0.478,0.238,1.89,0.108,7,70,0.99479,3.42,0.52,10.19,5
7.1,0.648,0.217,2.94,0.062,9,43,0.9964,3.29,0.74,9.62,4
8.13,0.379,0.0,1.42,0.046,6,40,0.99484,3.48,0.69,10.07,6
7.46,0.522,0.416,0.9,0.104,11,51,0.99578,3.27,0.92,9.8,5
11.05,0.771,0.162,1.34,0.065,3,16,0.99581,3.16,0.54,9.82,5
7.75,0.458,0.358,2.36,0.079,11,21,0.99732,3.5,0.81,10.99,6
6.52,0.62,0.318,3.85,0.09,5,64,0.99631,3.25,0.6,10.47,4
8.42,0.658,0.4,2.36,0.083,23,93,0.99532,3.41,0.78,8.4,4
7.04,0.574,0.079,2.68,0.08,4,14,0.99523,3.51,0.58,8.4,4
8.15,0.629,0.255,1.26,0.058,12,35,0.99743,3.39,0.93,10.1,5
7.39,0.529,0.378,1.75,0.095,7,84,0.99624,3.33,0.75,10.3,5
8.22,0.418,0.212,3.83,0.063,9,24,0.99772,3.38,0.62,10.45,5
8.73,0.523,0.011,4.46,0.05,32,46,0.99658,3.27,0.8,11.32,5
9.58,0.51,0.722,3.07,0.079,7,23,0.99671,3.31,0.83,10.65,6
10.32,1.076,0.504,1.97,0.064,13,23,0.99525,3.27,0.71,10.82,5
9.3,0.604,0.107,1.39,0.101,9,89,0.99466,3.47,0.71,10.85,5
8.01,0.302,0.313,1.69,0.096,8,61,0.99603,3.14,0.52,10.12,6
7.28,0.304,0.244,1.76,0.05,39,76,0.99495,3.61,0.47,10.97,5
6.42,0.288,0.324,2.4,0.085,10,58,0.99657,3.41,0.38,10.3,5
10.48,0.251,0.759,2.5,0.044,14,29,0.99785,3.22,0.66,10.48,6
7.48,0.473,0.556,2.3,0.19,8,39,0.99656,3.55,0.93,9.98,5
7.61,0.555,0.298,2.18,0.052,31,55,0.99603,3.32,0.77,11.95,6
8.46,0.338,0.446,2.21,0.084,27,39,0.99816,3.24,0.77,11.49,5
9.45,0.283,0.105,1.41,0.055,11,29,0.99621,3.45,0.76,9.87,4
10.65,0.502,0.46,2.26,0.078,18,79,0.99662,3.23,0.85,10.55,5
9.06,0.954,0.215,1.85,0.171,13,52,0.99531,3.16,0.64,8.72,4
6.25,0.506,0.06,4.42,0.082,56,85,0.99566,3.4,0.74,9.9,6
9.04,0.971,0.398,2.12,0.08,15,51,0.99589,3.32,0.5,11.26,5
7.84,0.545,0.407,1.5,0.097,7,82,0.99659,3.36,0.63,10.83,5
7.24,0.557,0.346,1.17,0.067,11,27,0.99573,3.31,0.7,8.54,5
9.79,0.496,0.0,1.26,0.057,20,51,0.99668,3.17,0.51,10.02,5
7.92,0.43,0.251,2.77,0.044,13,61,0.99524,3.21,0.74,9.61,5
8.12,0.596,0.066,2.76,0.069,14,63,0.99641,3.22,0.64,10.55,5
9.43,0.343,0.416,3.41,0.087,20,43,0.99652,3.04,0.83,9.39,5
8.93,0.275,0.155,1.67,0.083,2,30,0.99618,3.15,0.73,8.4,5
9.08,0.588,0.248,3.99,0.057,15,79,0.99586,3.37,0.75,10.14,4
8.6,0.212,0.325,6.25,0.055,14,57,0.99853,3.34,0.75,10.14,6
7.29,0.221,0.245,4.71,0.068,6,33,0.99736,3.5,0.6,11.74,6
7.33,0.861,0.3,1.44,0.085,24,100,0.99628,3.31,0.73,10.51,5
7.98,0.397,0.253,4.61,0.069,12,79,0.9962,3.5,0.58,11.01,6
8.2,0.12,0.296,4.15,0.05,5,23,0.99704,3.27,0.98,10.06,6
9.68,0.5,0.196,5.48,0.169,14,63,0.99717,3.15,0.63,9.81,6
6.03,0.277,0.332,1.94,0.087,41,84,0.99566,3.28,0.96,10.7,5
8.36,0.5,0.648,0.9,0.149,16,24,0.99563,3.25,0.48,9.94,5
4.6,0.496,0.189,2.57,0.051,11,53,0.99644,3.25,0.83,10.77,6
10.1,0.295,0.116,1.37,0.066,12,78,0.99652,3.48,0.72,8.74,6
9.39,0.253,0.154,1.86,0.084,17,28,0.99602,3.27,0.64,11.82,6
7.18,0.688,0.0,2.87,0.058,12,33,0.99817,3.24,1.02,10.41,4
7.39,0.859,0.472,1.84,0.091,22,35,0.99594,3.45,0.68,11.02,5
7.96,0.449,0.305,1.25,0.054,14,117,0.9962,3.51,0.73,9.85,6
6.76,0.255,0.233,1.59,0.037,18,43,0.99515,3.41,0.59,9.6,6
8.42,0.234,0.524,2.74,0.073,38,48,0.99808,3.11,0.79,11.98,6
9.47,0.734,0.539,2.74,0.11,25,64,0.99687,3.25,0.71,9.23,5
6.39,0.56,0.433,1.9,0.084,3,34,0.99686,3.48,0.71,10.37,5
8.19,0.698,0.391,1.46,0.075,6,22,0.99594,3.19,0.48,10.53,5
6.71,0.858,0.109,1.81,0.092,17,42,0.99596,3.49,0.64,9.34,5
10.4,0.607,0.341,3.55,0.118,9,40,0.99728,3.14,0.61,9.86,5
5.64,0.624,0.188,2.46,0.045,10,46,0.9958,3.3,0.49,9.28,4
7.35,0.513,0.186,1.68,0.103,32,46,0.99637,3.4,0.68,12.13,5
8.55,0.563,0.367,1.84,0.076,14,31,0.99649,3.37,0.77,11.48,5
8.34,0.463,0.228,2.88,0.138,31,69,0.99693,3.21,0.57,10.56,5
7.19,0.638,0.39,1.88,0.089,6,31,0.99783,3.56,0.63,10.35,5
8.85,0.823,0.418,2.66,0.051,2,8,0.99774,3.28,0.51,8.4,4
7.53,0.329,0.154,1.74,0.077,32,225,0.99426,3.2,0.67,10.42,5
9.21,0.688,0.247,0.9,0.071,23,29,0.99668,3.18,1.03,9.85,6
6.1,0.455,0.374,2.7,0.087,9,32,0.99682,3.45,0.76,11.26,7
7.34,0.358,0.055,1.45,0.07,18,47,0.99652,3.22,0.33,10.34,5
9.99,0.581,0.206,1.4,0.08,22,39,0.99507,3.17,0.68,10.96,5
10.54,0.375,0.295,2.17,0.08,8,45,0.9967,3.01,0.77,9.35,5
10.62,0.522,0.734,3.08,0.07,13,69,0.99675,3.27,0.36,11.33,6
6.71,0.675,0.587,2.95,0.072,5,34,0.99735,3.3,0.66,9.32,4
12.75,0.419,0.044,3.86,0.099,7,35,0.9963,2.97,0.55,9.64,4
8.47,0.644,0.543,3.55,0.116,27,38,0.99662,3.25,0.91,10.74,6
11.96,0.251,0.066,2.38,0.057,2,41,0.99701,3.18,1.14,10.37,7
9.27,0.705,0.15,2.26,0.044,25,67,0.99707,3.4,0.91,10.27,6
6.46,0.443,0.655,3.03,0.112,27,36,0.99657,3.55,0.81,12.1,6
9.14,0.966,0.29,1.18,0.066,27,87,0.99723,3.2,0.89,8.42,5
7.95,0.739,0.308,1.33,0.04,14,42,0.99691,3.18,0.65,10.73,5
8.97,0.452,0.404,2.36,0.078,17,25,0.9972,3.17,0.63,11.6,7
7.41,0.644,0.201,1.13,0.065,7,20,0.99618,3.24,0.63,11.97,6
8.68,0.585,0.022,0.91,0.089,22,100,0.99634,3.49,0.79,10.42,5
8.64,0.456,0.008,1.84,0.082,7,37,0.99558,3.27,0.9,9.4,5
6.95,0.765,0.257,1.52,0.062,9,24,0.99638,3.31,0.74,9.84,5
9.04,0.515,0.0,1.57,0.053,13,75,0.99597,3.27,0.81,9.74,5
7.2,0.41,0.005,5.87,0.06,6,54,0.99828,3.39,0.33,8.58,5
7.23,0.468,0.537,1.52,0.101,6,16,0.99651,3.16,0.8,10.41,6
6.35,0.778,0.311,2.61,0.046,19,23,0.99598,3.52,0.65,8.4,4
9.06,0.255,0.561,1.69,0.077,15,59,0.99528,3.31,0.81,11.9,7
